,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
fixed_acidity,1359.0,8.310596026490067,1.7369898075324683,4.6,7.1,7.9,9.2,15.9,0.9410413664561449,1.0496733622032255
volatile_acidity,1359.0,0.5294775570272259,0.1830313176190719,0.12,0.39,0.52,0.64,1.58,0.7292789463991854,1.2492434974517557
citric_acid,1359.0,0.2723325974981604,0.1955365445504638,0.0,0.09,0.26,0.43,1.0,0.31272554238899036,-0.7889205005417139
residual_sugar,1359.0,2.5233995584988964,1.3523137577104225,0.9,1.9,2.2,2.6,15.5,4.548153403940447,29.364591868714623
chlorides,1359.0,0.08812362030905077,0.04937686244348607,0.012,0.07,0.079,0.091,0.611,5.502487294623722,38.62465317214899
free_sulfur_dioxide,1359.0,15.893303899926417,10.447270259048693,1.0,7.0,14.0,21.0,72.0,1.2265794991760643,1.8926907410206355
total_sulfur_dioxide,1359.0,46.82597498160412,33.40894570661652,6.0,22.0,38.0,63.0,289.0,1.5403680777213933,4.042256740578281
density,1359.0,0.9967089477557026,0.0018689171325591413,0.99007,0.9956,0.9967,0.99782,1.00369,0.04477785573116107,0.830658762253051
pH,1359.0,3.309786607799853,0.15503631128729617,2.74,3.21,3.31,3.4,4.01,0.2320322752014824,0.8797897392873515
sulphates,1359.0,0.6587049300956587,0.17066689057420686,0.33,0.55,0.62,0.73,2.0,2.4065046145674196,11.10228225562913
alcohol,1359.0,10.432315428010792,1.0820654499402542,8.4,9.5,10.2,11.1,14.9,0.8598411692032926,0.1597388547368781
quality,1359.0,3.623252391464312,0.8235780017165553,1.0,3.0,4.0,4.0,6.0,0.1924065873165816,0.3402560880620902
